TABLE 2,,,,,,,
CONGO (KINSHASA): STRUCTURE OF THE MINERAL INDUSTRY IN 2006,,,,,,,
,,,,,,,
(Metric tons unless otherwise specified),,,,,,,
,,,,,,,
,,,Major operating companies,,,,
Commodity,,, and major equity owners,,Location of main facilities,,Annual capacity1
Cement,,,Cimenterie Nationale SARL,,"Kimpese plant, 40 kilometers south of Kinshasa",,"318,000.00"
Do.,,,"Cimenterie du Lukala (The Forrest Group, 80%)",,Lukala plant near Kinshasa in Bas-Congo Province,,"360,000.00"
Do.,,,"Interlacs (The Forrest Group, 98.7%)",,"Kabimba plant near Lubumbashi, Katanga Province",,"50,000.00"
Do.,,,Cemenkat [The Forrest Group and La G_n_rale des Carrières,,"Lubudi plant, between Likasi and Kolwezi, ",,"200,000.00"
,,,et des Mines (G_camines)],,Katanga Province,,
Coal,,,La G_n_rale des Carrières et des Mines (G_camines),,Luena Mine,,"800,000 bituminous coal."
Diamond,carats,,"Soci_t_ Minière de Bakwanga (MIBA) [Government, 80%, and",,"Diamond mines at Mbujiimaya, Kasai-Oriental Province,",,"10,000,000.00"
,,,"Sibeka Group (which was owned by Mwana Africa plc), 20%]",,"and at Tshikapa, Kasai Occidental Province",,
Do.,do.,, Extensive artisanal operations,,Various small-scale placer and alluvial operations in Kasa¥ ,,"27,000,000.e"
,,,,,"Occidental Provinces, in Bandundu Province, at ",,
,,,,,"Bafwansende and Kisangani in Haut-Congo Province, at",,
,,,,,"Lubutu in Maniema Province at Kota-Koli, Yakoma, and",,
,,,,,"Gbadolite in Equateur Province), in North Kivu Province, ",,
,,,,,and at Luozi in Bas-Congo Province,,
Gold,do.,,Artisanal miners,,South Kivu Province,,"4,800.00"
Do.,do.,,Office des Mines d'Or de Kilo-Moto (Okimo),,"Kilo-Moto Gold Mine near Bunia, Haut-Congo Province",,NA.
Niobium and tantalum,,,Artisanal miners,,North and South Kivu Provinces,,NA.
Petroleum,42-gallon,,"Muanda International Oil Co. (subsidiary of Perenco plc), ",,"Kifuku, Kinkasi, Liawenda, Makelekese, Muanda, Nsiamfuma, ",,"5,480 crude."
,barrels,,and Congolaise des hydrocarbures,,and Tschiende onshore wells,,
Do.,do.,,"Muanda International Oil Co. (subsidiary of Perenco plc), 50%;",,"GCO, Libwa, Lubi, Mibale, Moko, Motoba, Mwambe, and",,"3,650 crude."
,,,"Teikoku Oil Co. Ltd., 32.3%; ODS Ltd., 17.7%",,Tshlala offshore wells,,
Do.,do.,,Soci_t_ Congo-Italienne de Raffinage (SOCIR) ,,Petroleum refinery at Muanda2,,"6,200 refined."
,,,"(Government, 50%, and Agip SA, 50%)",,,,
Silver,kilograms,,Anvil Mining Ltd.,,Dikulushi Mine ,,"62,000.00"
Sulfur,do.,,La G_n_rale des Carrières et des Mines (G_camines),,Sulfuric acids plant at Kolwezi and Shituru,,NA.
Tin,do.,,Artisanal miners,,Manono in Katanga Province; Kalima and Punia in Maniema ,,NA.
,,,,,Province; Bisuru Bibatama Mine near Masisi; the Bisie ,,
,,,,,Mine near Walikale in North Kivu Province; and Nyabibwe,,
,,,,,in South Kivu Province,,
Tungsten,do.,,do.,,North and South Kivu Provinces,,NA.
Zinc,do.,,La Soci_t_ pour le Traitement du Terril de Lubumbashi,,Big Hill tailings and cobalt smelter at Lubumbashi,,"15,000 zinc in zinc oxide."
Do.,do.,,La G_n_rale des Carrières et des Mines (G_camines),,Kolwezi zinc leach plant and refinery,,"30,000.00"
Do.,do.,,do.,,Kolwezi zinc smelter,,"72,000.00"
